im M N alpha D minsval
34 512 4096 5.825818216900568 0.02254872096155658 2.2070164680480957
41 1124 1800 4.711703154036789 0.0494816919450759 0.5069497227668762
42 300 1500 3.675742133306703 0.02149544293277761 2.8020505905151367
44 300 1800 2.768609227396162 0.04240825722696695 2.933309555053711
45 300 1500 2.9450055112642257 0.021349771996327482 1.99747896194458
47 300 1800 2.519742906490573 0.028157635556201543 2.16249942779541
48 300 1500 2.7893334984117377 0.030544410302174807 1.7307891845703125
50 300 1800 2.515673773184237 0.022705696120788654 1.9706250429153442
51 300 1500 2.7797451481885433 0.024364196439251196 1.6591613292694092
53 300 1800 2.5662553147210456 0.021050390964590743 1.9251357316970825
54 300 1500 2.7129554332319814 0.01975147509440922 1.6387040615081787
56 300 1800 2.5922946008346397 0.024964406389972632 1.8982528448104858
57 300 1500 2.6715037776008748 0.022769063509739174 1.6345361471176147
59 300 1800 2.4702276751515044 0.02365075101097791 1.8767868280410767
60 300 1500 2.397128026192532 0.026419476856052504 1.605380654335022
62 300 1800 2.4708216298717307 0.03837528815620328 1.807625651359558
63 300 1500 2.7009350815222466 0.023104589586345647 1.5787752866744995
66 129 300 2.9512952951642832 0.07328215915385838 0.6021490693092346
15 150 3680 2.523288659415278 0.02133396716074376 2.3368940353393555
16 150 150 2.425547955865323 0.044309254079609284 0.008564651012420654
25 150 1220 2.4103143801234803 0.024362782963757573 4.24168062210083
26 150 150 2.5035594535119303 0.07763311933875983 0.006893245968967676
